도서관 일련번호,도서관명,구 코드,구명,주소,정기 휴관일,전화번호
2724,5세대sf작은도서관,1,강서구,서울특별시 강서구 공항대로 103 마곡엠밸리9단지상가 403호,"일요일, 공휴일 휴관",
2785,J-WITH 미술북놀이터 작은도서관,1,강서구,서울특별시 강서구 마곡중앙2로 15 617호,"화요일, 토요일, 일요일, 공휴일",02-717-5234
2430,e편한세상염창작은도서관,1,강서구,서울특별시 강서구 공항대로 583 관리동,휴관중,02-2668-9916
1850,가람작은도서관,1,강서구,서울특별시 강서구 양천로57길 36 가양5종합사회복지관 ,"토요일, 일요일, 공휴일",02-2668-4603
2010,가양9-1단지작은도서관,1,강서구,"서울특별시 강서구 허준로224, 관리동 2층 ","토요일, 일요일, 공휴일",02-2668-9155
1838,가양도서관,1,강서구,서울특별시 강서구 양천로61길101(가양동 1493),매주 월요일 및 법정 공휴일,02-3665-8797
1398,강서영어도서관,1,강서구,서울특별시 강서구 곰달래로57가길 26,매주 월요일 및 법정 공휴일,02-2061-2270
71,강서점자도서관,1,강서구,서울특별시 강서구 공항대로 206   801~803호,"토요일, 일요일, 법정공휴일","02-2661-2278,2291"
1377,곰달래도서관,1,강서구,"서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)",매주 월요일 및 법정 공휴일,02-2065-3785
209,공룡어린이도서관,1,강서구,서울특별시 강서구 까치산로 144 꿈이있는어린이도서관 강남교회,월요일,02-2601-5233
1829,국립국어원자료실,1,강서구,"서울특별시 강서구 금낭화로 154, 3층","토요일, 일요일, 법정공휴일",02-2669-9758
2019,글고운SH작은도서관,1,강서구,"서울특별시 강서구 공항대로 124, 1102동 1층 ",휴관중,070-8917-4505
1594,글마루SH작은도서관,1,강서구,서울특별시 강서구 마곡서1로 146 ,"일요일, 공휴일",02-2064-0341
2431,글벗누리작은도서관,1,강서구,서울특별시 강서구 방화대로 330 방화1동주민센터 2층 2,"토요일, 일요일, 공휴일",02-2600-7962
60,길꽃어린이도서관,1,강서구,서울특별시 강서구 금낭화로24길 5,매주 월요일 및 법정 공휴일,02-2663-4764
2710,꿀단지작은도서관,1,강서구,서울특별시 강서구 마곡서1로 132(마곡엠밸리 3단지) 관리동 2층,일요일,
94,꿈꾸는어린이도서관,1,강서구,서울특별시 강서구 공항대로 615,매주 월요일 및 법정 공휴일,02-3663-4025
2020,꿈나래작은도서관,1,강서구,"서울특별시 강서구 양천로47가길 25-10, 양천교회",휴관중,02-2658-1472
2018,꿈빛작은도서관,1,강서구,"서울특별시 강서구 공항대로 140, 1203동 1층 ",휴관중,070-8804-6677
2783,꿈이있는기독작은도서관,1,강서구,서울특별시 강서구 방화대로6바길 5-27 지하 1층,공휴일,
2432,꿈자람책놀이터작은도서관,1,강서구,서울특별시 강서구 개화동로 21길 4 방화11단지아파트 종합사회복지관,"일요일, 공휴일",070-5153-8240
1276,꿈터작은도서관,1,강서구,서울특별시 강서구 곰달래로 79 화곡1동주민센터 3층,"일요일, 공휴일",02-2600-7515
1851,나무그늘작은도서관,1,강서구,서울특별시 강서구 마곡서1로 100 2층,휴관중,02-2663-7235
2784,나인북스SH작은도서관,1,강서구,서울특별시 강서구 공항대로 103 마곡엠밸리9단지 905동 1층,"나머지 요일 및 토요일, 일요일",02-2666-2806
1852,나팔부는작은도서관,1,강서구,서울특별시 강서구 마곡중앙로 33 관리동 2층,휴관중,02-2664-3320
200,내발산작은도서관,1,강서구,서울특별시 강서구 강서로52길 89 내발산동문화센터 5층,"토요일, 일요일, 공휴일",02-2600-7756
2016,다빈작은도서관,1,강서구,"서울특별시 강서구 마곡서로 168, 럭스나인오피스텔L동 205호","일요일, 공휴일",02-6014-0691
1498,다솜SH작은도서관,1,강서구,서울특별시 강서구 마곡서1로 131 2층 ,휴관중,
192,도란도란쉼터작은도서관,1,강서구,서울특별시 강서구 허준로 30 가양1동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7778
194,도리샘작은도서관,1,강서구,서울특별시 강서구 허준로 202 가양3동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7856
2433,두란노도서관,1,강서구,서울특별시 강서구 화곡로63길 65 12층,"월요일, 공휴일",02-2657-9746
184,등마루골작은도서관,1,강서구,서울특별시 강서구 등촌로 143 등촌2동주민센터 2층,"토요일, 일요일",02-2600-7381
1492,등불작은도서관,1,강서구,서울특별시 강서구 강서로 29길 20 다솜B 등불작은도서관,휴관중,02-2691-1004
1395,등빛도서관,1,강서구,서울특별시 강서구 강서로62길 48,매주 월요일 및 법정 공휴일,02-3664-6990
215,등촌아이파크도서관,1,강서구,서울특별시 강서구 등촌로 163 등촌아이파크아파트 ,휴관중,02-2654-5542
210,람원문고,1,강서구,서울특별시 강서구 까치산로 164,"토요일, 공휴일",02-2605-2599
2011,로뎀북카페작은도서관,1,강서구,서울특별시 강서구 양천로24길 31(방화동),"토요일, 공휴일",
1596,마곡엠밸리5단지SH작은도서관,1,강서구,서울특별시 강서구 마곡서1로 111-11 마곡엠밸리5단지SH작은도서관,휴관중,070-4277-9766
1497,많은샘작은도서관,1,강서구,서울특별시 강서구 양천로 75길 13 2층,"월요일, 일요일, 공휴일",070-4642-5527
